NumberOfSpecs,7,1024,1024
Spec,0,Tahoma,39,32,190,46
32,ABC,-4,9,5,8,0
33,ABC,-1,13,-1,25,0
34,ABC,-3,19,-3,46,0
35,ABC,-2,27,-2,73,0
36,ABC,-3,23,-3,108,0
37,ABC,-3,37,-3,139,0
38,ABC,-3,30,-5,184,0
39,ABC,-3,13,-3,222,0
40,ABC,-3,18,-3,243,0
41,ABC,-3,18,-3,269,0
42,ABC,-3,23,-3,295,0
43,ABC,-2,27,-2,326,0
44,ABC,-3,15,-2,361,0
45,ABC,-3,18,-3,384,0
46,ABC,-1,12,-1,410,0
47,ABC,-5,21,-4,430,0
48,ABC,-3,23,-3,459,0
49,ABC,-1,20,-2,490,0
50,ABC,-3,23,-3,518,0
51,ABC,-3,23,-3,549,0
52,ABC,-4,25,-4,580,0
53,ABC,-2,22,-3,613,0
54,ABC,-3,23,-3,643,0
55,ABC,-3,24,-4,674,0
56,ABC,-3,23,-3,706,0
57,ABC,-3,23,-3,737,0
58,ABC,-1,13,-1,768,0
59,ABC,-3,16,-2,789,0
60,ABC,-1,25,-1,813,0
61,ABC,-1,26,-2,846,0
62,ABC,-1,25,-1,880,0
63,ABC,-3,22,-4,913,0
64,ABC,-2,34,-3,943,0
65,ABC,-5,29,-5,985,0
66,ABC,-2,25,-4,8,40
67,ABC,-3,26,-4,41,40
68,ABC,-2,27,-3,75,40
69,ABC,-2,23,-3,110,40
70,ABC,-2,23,-4,141,40
71,ABC,-3,27,-3,172,40
72,ABC,-2,26,-2,207,40
73,ABC,-3,18,-3,241,40
74,ABC,-4,19,-2,267,40
75,ABC,-2,26,-5,294,40
76,ABC,-2,22,-4,328,40
77,ABC,-2,29,-2,358,40
78,ABC,-2,25,-2,395,40
79,ABC,-3,29,-3,428,40
80,ABC,-2,24,-4,465,40
81,ABC,-3,29,-3,497,40
82,ABC,-2,27,-5,534,40
83,ABC,-3,25,-4,569,40
84,ABC,-4,27,-4,602,40
85,ABC,-2,25,-2,637,40
86,ABC,-5,29,-5,670,40
87,ABC,-4,37,-4,707,40
88,ABC,-4,27,-4,752,40
89,ABC,-5,28,-5,787,40
90,ABC,-3,25,-4,823,40
91,ABC,-2,17,-3,856,40
92,ABC,-4,21,-5,881,40
93,ABC,-3,17,-2,910,40
94,ABC,-2,28,-3,935,40
95,ABC,-5,27,-5,971,40
96,ABC,-1,16,2,1006,40
97,ABC,-4,23,-2,8,80
98,ABC,-2,23,-3,39,80
99,ABC,-4,23,-4,70,80
100,ABC,-3,23,-2,101,80
101,ABC,-4,25,-4,132,80
102,ABC,-4,20,-6,165,80
103,ABC,-3,23,-2,193,80
104,ABC,-2,22,-2,224,80
105,ABC,-3,13,-3,254,80
106,ABC,-6,17,-2,275,80
107,ABC,-2,23,-5,300,80
108,ABC,-2,12,-3,331,80
109,ABC,-2,32,-3,351,80
110,ABC,-2,22,-2,391,80
111,ABC,-4,25,-4,421,80
112,ABC,-2,23,-3,454,80
113,ABC,-3,23,-2,485,80
114,ABC,-2,18,-4,516,80
115,ABC,-3,21,-4,542,80
116,ABC,-4,19,-4,571,80
117,ABC,-2,22,-2,598,80
118,ABC,-4,24,-4,628,80
119,ABC,-4,32,-4,660,80
120,ABC,-4,24,-4,700,80
121,ABC,-4,24,-4,732,80
122,ABC,-4,22,-4,764,80
123,ABC,-3,21,-3,794,80
124,ABC,0,12,0,823,80
125,ABC,-3,22,-4,843,80
126,ABC,-2,27,-2,873,80
160,ABC,-4,9,5,908,80
161,ABC,-1,13,-1,925,80
162,ABC,-3,23,-3,946,80
163,ABC,-3,24,-4,977,80
164,ABC,-4,25,-4,8,120
165,ABC,-4,25,-4,41,120
166,ABC,0,12,0,74,120
167,ABC,-3,23,-3,94,120
168,ABC,-1,19,-1,125,120
169,ABC,-3,36,-3,152,120
170,ABC,-3,21,-2,196,120
171,ABC,-3,24,-3,225,120
172,ABC,-2,27,-2,257,120
173,ABC,-3,18,-3,292,120
174,ABC,-3,36,-3,318,120
175,ABC,-5,27,-5,362,120
176,ABC,-3,21,-3,397,120
177,ABC,-2,27,-2,426,120
178,ABC,-2,20,-2,461,120
179,ABC,-2,20,-2,489,120
180,ABC,3,15,-1,517,120
181,ABC,-2,22,-2,540,120
182,ABC,-4,24,-3,570,120
183,ABC,-1,13,-1,602,120
184,ABC,0,16,1,623,120
185,ABC,0,17,-1,647,120
186,ABC,-3,22,-3,672,120
187,ABC,-2,23,-3,702,120
188,ABC,-2,35,-1,733,120
189,ABC,-2,37,-3,776,120
190,ABC,-2,36,-2,821,120
191,ABC,-4,22,-3,865,120
192,ABC,-5,29,-5,895,120
193,ABC,-5,29,-5,932,120
194,ABC,-5,29,-5,969,120
195,ABC,-5,29,-5,8,160
196,ABC,-5,29,-5,45,160
197,ABC,-5,29,-5,82,160
198,ABC,-5,37,-3,119,160
199,ABC,-3,26,-4,164,160
200,ABC,-2,23,-3,198,160
201,ABC,-2,23,-3,229,160
202,ABC,-2,23,-3,260,160
203,ABC,-2,23,-3,291,160
204,ABC,-3,18,-3,322,160
205,ABC,-3,18,-3,348,160
206,ABC,-4,20,-4,374,160
207,ABC,-3,18,-3,402,160
208,ABC,-4,29,-3,428,160
209,ABC,-2,25,-2,465,160
210,ABC,-3,29,-3,498,160
211,ABC,-3,29,-3,535,160
212,ABC,-3,29,-3,572,160
213,ABC,-3,29,-3,609,160
214,ABC,-3,29,-3,646,160
215,ABC,-1,25,-1,683,160
216,ABC,-3,29,-3,716,160
217,ABC,-2,25,-2,753,160
218,ABC,-2,25,-2,786,160
219,ABC,-2,25,-2,819,160
220,ABC,-2,25,-2,852,160
221,ABC,-5,28,-5,885,160
222,ABC,-2,23,-3,921,160
223,ABC,-2,23,-3,952,160
224,ABC,-4,23,-2,983,160
225,ABC,-4,23,-2,8,200
226,ABC,-4,23,-2,39,200
227,ABC,-4,23,-2,70,200
228,ABC,-4,23,-2,101,200
229,ABC,-4,23,-2,132,200
230,ABC,-4,36,-4,163,200
231,ABC,-4,23,-4,207,200
232,ABC,-4,25,-4,238,200
233,ABC,-4,25,-4,271,200
234,ABC,-4,25,-4,304,200
235,ABC,-4,25,-4,337,200
236,ABC,-4,15,-4,370,200
237,ABC,-2,15,-6,393,200
238,ABC,-5,18,-6,416,200
239,ABC,-5,17,-5,442,200
240,ABC,-4,25,-4,467,200
241,ABC,-2,22,-2,500,200
242,ABC,-4,25,-4,530,200
243,ABC,-4,25,-4,563,200
244,ABC,-4,25,-4,596,200
245,ABC,-4,25,-4,629,200
246,ABC,-4,25,-4,662,200
247,ABC,-2,27,-2,695,200
248,ABC,-4,25,-4,730,200
249,ABC,-2,22,-2,763,200
250,ABC,-2,22,-2,793,200
251,ABC,-2,22,-2,823,200
252,ABC,-2,22,-2,853,200
253,ABC,-4,24,-4,883,200
254,ABC,-2,23,-3,915,200
Spec,1,Courier New,22,16,190,46
32,ABC,-4,9,6,946,200
33,ABC,0,11,0,963,200
34,ABC,-2,15,-2,982,200
35,ABC,-3,17,-3,1005,200
36,ABC,-3,16,-2,8,240
37,ABC,-3,17,-3,32,240
38,ABC,-2,16,-3,57,240
39,ABC,0,11,0,81,240
40,ABC,1,12,-2,100,240
41,ABC,-2,12,1,120,240
42,ABC,-2,15,-2,140,240
43,ABC,-3,17,-3,163,240
44,ABC,-2,13,0,188,240
45,ABC,-3,17,-3,209,240
46,ABC,0,11,0,234,240
47,ABC,-3,16,-2,253,240
48,ABC,-2,16,-3,277,240
49,ABC,-2,16,-3,301,240
50,ABC,-3,17,-3,325,240
51,ABC,-3,17,-3,350,240
52,ABC,-2,15,-2,375,240
53,ABC,-3,17,-3,398,240
54,ABC,-2,16,-3,423,240
55,ABC,-3,16,-2,447,240
56,ABC,-2,15,-2,471,240
57,ABC,-2,16,-3,494,240
58,ABC,0,11,0,518,240
59,ABC,-2,13,0,537,240
60,ABC,-4,18,-3,558,240
61,ABC,-3,18,-4,584,240
62,ABC,-3,18,-4,610,240
63,ABC,-2,15,-2,636,240
64,ABC,-2,16,-3,659,240
65,ABC,-5,20,-4,683,240
66,ABC,-4,18,-3,711,240
67,ABC,-3,17,-3,737,240
68,ABC,-3,18,-4,762,240
69,ABC,-4,18,-3,788,240
70,ABC,-3,18,-4,814,240
71,ABC,-3,18,-4,840,240
72,ABC,-4,19,-4,866,240
73,ABC,-2,15,-2,893,240
74,ABC,-3,18,-4,916,240
75,ABC,-4,19,-4,942,240
76,ABC,-3,17,-3,969,240
77,ABC,-5,20,-4,994,240
78,ABC,-4,19,-4,8,262
79,ABC,-3,18,-4,35,262
80,ABC,-3,17,-3,61,262
81,ABC,-3,18,-4,86,262
82,ABC,-4,19,-4,112,262
83,ABC,-3,17,-3,139,262
84,ABC,-3,17,-3,164,262
85,ABC,-4,19,-4,189,262
86,ABC,-4,19,-4,216,262
87,ABC,-4,19,-4,243,262
88,ABC,-4,19,-4,270,262
89,ABC,-4,19,-4,297,262
90,ABC,-2,16,-3,324,262
91,ABC,1,12,-2,348,262
92,ABC,-3,16,-2,368,262
93,ABC,-2,12,1,392,262
94,ABC,-2,15,-2,412,262
95,ABC,-4,20,-5,435,262
96,ABC,0,12,-1,463,262
97,ABC,-3,17,-3,483,262
98,ABC,-4,18,-3,508,262
99,ABC,-3,17,-3,534,262
100,ABC,-3,18,-4,559,262
101,ABC,-3,17,-3,585,262
102,ABC,-2,16,-3,610,262
103,ABC,-3,18,-4,634,262
104,ABC,-4,19,-4,660,262
105,ABC,-3,17,-3,687,262
106,ABC,-3,15,-1,712,262
107,ABC,-2,17,-4,735,262
108,ABC,-3,17,-3,760,262
109,ABC,-4,20,-5,785,262
110,ABC,-3,18,-4,813,262
111,ABC,-3,17,-3,839,262
112,ABC,-4,18,-3,864,262
113,ABC,-3,18,-4,890,262
114,ABC,-3,17,-3,916,262
115,ABC,-3,17,-3,941,262
116,ABC,-3,17,-3,966,262
117,ABC,-4,19,-4,991,262
118,ABC,-4,19,-4,8,284
119,ABC,-4,19,-4,35,284
120,ABC,-3,18,-4,62,284
121,ABC,-3,18,-4,88,284
122,ABC,-2,16,-3,114,284
123,ABC,-1,13,-1,138,284
124,ABC,1,9,1,159,284
125,ABC,-1,13,-1,176,284
126,ABC,-3,17,-3,197,284
160,ABC,-4,9,6,222,284
161,ABC,0,11,0,239,284
162,ABC,-2,15,-2,258,284
163,ABC,-3,17,-3,281,284
164,ABC,-3,17,-3,306,284
165,ABC,-4,18,-3,331,284
166,ABC,1,9,1,357,284
167,ABC,-3,17,-3,374,284
168,ABC,-2,15,-2,399,284
169,ABC,-4,19,-4,422,284
170,ABC,-2,15,-2,449,284
171,ABC,-4,18,-3,472,284
172,ABC,-5,19,-3,498,284
173,ABC,-3,17,-3,525,284
174,ABC,-4,20,-5,550,284
175,ABC,-5,21,-5,578,284
176,ABC,-1,13,-1,607,284
177,ABC,-3,17,-3,628,284
178,ABC,-1,13,-1,653,284
179,ABC,-1,13,-1,674,284
180,ABC,0,12,-1,695,284
181,ABC,-3,18,-4,715,284
182,ABC,-3,17,-3,741,284
183,ABC,2,11,-2,766,284
184,ABC,-1,12,0,785,284
185,ABC,-1,13,-1,805,284
186,ABC,-2,15,-2,826,284
187,ABC,-3,18,-4,849,284
188,ABC,-4,19,-4,875,284
189,ABC,-4,20,-5,902,284
190,ABC,-4,20,-5,930,284
191,ABC,-2,15,-2,958,284
192,ABC,-5,20,-4,981,284
193,ABC,-5,20,-4,8,306
194,ABC,-5,20,-4,36,306
195,ABC,-5,20,-4,64,306
196,ABC,-5,20,-4,92,306
197,ABC,-5,20,-4,120,306
198,ABC,-4,19,-4,148,306
199,ABC,-3,17,-3,175,306
200,ABC,-4,18,-3,200,306
201,ABC,-4,18,-3,226,306
