NumberOfSpecs,6,1024,1024
Spec,0,Tahoma,78,64,190,46
32,ABC,0,1,19,0,0
33,ABC,7,7,7,2,0
34,ABC,3,20,3,10,0
35,ABC,4,39,4,31,0
36,ABC,3,29,3,71,0
37,ABC,3,57,3,101,0
38,ABC,2,43,-2,159,0
39,ABC,3,8,3,203,0
40,ABC,3,20,2,212,0
41,ABC,2,20,3,233,0
42,ABC,3,29,3,254,0
43,ABC,5,37,5,284,0
44,ABC,2,14,3,322,0
45,ABC,2,19,2,337,0
46,ABC,5,9,5,357,0
47,ABC,-1,24,1,367,0
48,ABC,2,31,2,392,0
49,ABC,7,23,5,424,0
50,ABC,3,30,2,448,0
51,ABC,3,29,3,479,0
52,ABC,1,33,1,509,0
53,ABC,3,29,3,543,0
54,ABC,2,31,2,573,0
55,ABC,3,30,2,605,0
56,ABC,2,31,2,636,0
57,ABC,2,31,2,668,0
58,ABC,7,9,7,700,0
59,ABC,4,14,5,710,0
60,ABC,6,35,6,725,0
61,ABC,6,35,6,761,0
62,ABC,6,35,6,797,0
63,ABC,3,26,1,833,0
64,ABC,4,51,3,860,0
65,ABC,-1,40,-1,912,0
66,ABC,4,33,1,953,0
67,ABC,2,35,1,987,0
68,ABC,4,37,2,0,78
69,ABC,4,30,2,38,78
70,ABC,4,29,0,69,78
71,ABC,2,38,3,99,78
72,ABC,4,35,4,138,78
73,ABC,3,18,3,174,78
74,ABC,0,23,4,193,78
75,ABC,4,35,-1,217,78
76,ABC,4,28,0,253,78
77,ABC,4,41,4,282,78
78,ABC,4,35,4,324,78
79,ABC,2,41,2,360,78
80,ABC,4,30,1,402,78
81,ABC,2,42,1,433,78
82,ABC,4,38,-2,476,78
83,ABC,2,33,1,515,78
84,ABC,-1,39,-1,549,78
85,ABC,4,34,4,589,78
86,ABC,-1,40,-1,624,78
87,ABC,0,58,0,665,78
88,ABC,0,37,0,724,78
89,ABC,-1,39,-1,762,78
90,ABC,1,34,1,802,78
91,ABC,5,17,3,837,78
92,ABC,1,25,-2,855,78
93,ABC,3,17,5,881,78
94,ABC,4,39,4,899,78
95,ABC,-1,37,-1,939,78
96,ABC,7,14,14,977,78
97,ABC,1,29,4,992,78
98,ABC,4,30,1,0,156
99,ABC,1,28,1,31,156
100,ABC,1,30,4,60,156
101,ABC,1,32,1,91,156
102,ABC,0,23,-3,124,156
103,ABC,1,30,4,148,156
104,ABC,4,28,4,179,156
105,ABC,4,7,4,208,156
106,ABC,-3,17,4,216,156
107,ABC,4,30,-2,234,156
108,ABC,4,7,4,265,156
109,ABC,4,46,4,273,156
110,ABC,4,28,4,320,156
111,ABC,1,33,1,349,156
112,ABC,4,30,1,383,156
113,ABC,1,30,4,414,156
114,ABC,4,19,0,445,156
115,ABC,2,26,1,465,156
116,ABC,0,21,0,492,156
117,ABC,4,28,4,514,156
118,ABC,0,32,0,543,156
119,ABC,1,46,1,576,156
120,ABC,0,32,0,623,156
121,ABC,0,32,0,656,156
122,ABC,1,26,1,689,156
123,ABC,1,27,3,716,156
124,ABC,9,6,9,744,156
125,ABC,3,26,2,751,156
126,ABC,4,39,4,778,156
160,ABC,0,1,19,818,156
161,ABC,7,7,7,820,156
162,ABC,3,28,4,828,156
163,ABC,2,31,2,857,156
164,ABC,2,32,1,889,156
165,ABC,1,33,1,922,156
166,ABC,9,6,9,956,156
167,ABC,3,29,3,963,156
168,ABC,8,20,7,993,156
169,ABC,2,55,2,0,234
170,ABC,3,25,4,56,234
171,ABC,3,30,4,82,234
172,ABC,5,37,5,113,234
173,ABC,2,19,2,151,234
174,ABC,2,55,2,171,234
175,ABC,-1,37,-1,227,234
176,ABC,3,24,3,265,234
177,ABC,5,37,5,290,234
178,ABC,5,23,4,328,234
179,ABC,5,22,5,352,234
180,ABC,14,14,7,375,234
181,ABC,4,28,4,390,234
182,ABC,1,30,4,419,234
183,ABC,7,9,7,450,234
184,ABC,9,16,10,460,234
185,ABC,8,18,6,477,234
186,ABC,2,28,2,496,234
187,ABC,4,30,3,525,234
188,ABC,5,53,6,556,234
189,ABC,5,56,3,610,234
190,ABC,4,56,4,667,234
191,ABC,1,26,3,724,234
192,ABC,-1,40,-1,751,234
193,ABC,-1,40,-1,792,234
194,ABC,-1,40,-1,833,234
195,ABC,-1,40,-1,874,234
196,ABC,-1,40,-1,915,234
197,ABC,-1,40,-1,956,234
198,ABC,-2,58,2,0,312
199,ABC,2,35,1,59,312
200,ABC,4,30,2,95,312
201,ABC,4,30,2,126,312
202,ABC,4,30,2,157,312
203,ABC,4,30,2,188,312
204,ABC,3,18,3,219,312
205,ABC,3,18,3,238,312
206,ABC,1,22,1,257,312
207,ABC,2,20,2,280,312
208,ABC,0,43,2,301,312
209,ABC,4,35,4,345,312
210,ABC,2,41,2,381,312
211,ABC,2,41,2,423,312
212,ABC,2,41,2,465,312
213,ABC,2,41,2,507,312
214,ABC,2,41,2,549,312
215,ABC,6,34,7,591,312
216,ABC,2,41,2,626,312
217,ABC,4,34,4,668,312
218,ABC,4,34,4,703,312
219,ABC,4,34,4,738,312
220,ABC,4,34,4,773,312
221,ABC,-1,39,-1,808,312
222,ABC,4,30,2,848,312
223,ABC,4,30,1,879,312
224,ABC,1,29,4,910,312
225,ABC,1,29,4,940,312
226,ABC,1,29,4,970,312
227,ABC,1,29,4,0,390
228,ABC,1,29,4,30,390
229,ABC,1,29,4,60,390
230,ABC,1,54,1,90,390
231,ABC,1,28,1,145,390
232,ABC,1,32,1,174,390
233,ABC,1,32,1,207,390
234,ABC,1,32,1,240,390
235,ABC,1,32,1,273,390
236,ABC,0,14,1,306,390
237,ABC,4,14,-3,321,390
238,ABC,-2,19,-2,336,390
239,ABC,-2,19,-2,356,390
240,ABC,1,32,2,376,390
241,ABC,4,28,4,409,390
242,ABC,1,33,1,438,390
243,ABC,1,33,1,472,390
244,ABC,1,33,1,506,390
245,ABC,1,33,1,540,390
246,ABC,1,33,1,574,390
247,ABC,5,37,5,608,390
248,ABC,1,33,1,646,390
249,ABC,4,28,4,680,390
250,ABC,4,28,4,709,390
251,ABC,4,28,4,738,390
252,ABC,4,28,4,767,390
253,ABC,0,32,0,796,390
254,ABC,4,30,1,829,390
Spec,1,Tahoma,58,48,190,46
32,ABC,0,1,14,860,390
33,ABC,5,6,5,862,390
34,ABC,2,15,2,869,390
35,ABC,3,29,3,885,390
36,ABC,2,22,2,915,390
37,ABC,2,43,2,938,390
38,ABC,1,33,-2,982,390
39,ABC,2,6,2,1016,390
40,ABC,2,15,1,0,468
41,ABC,1,15,2,16,468
42,ABC,2,22,2,32,468
43,ABC,3,29,3,55,468
44,ABC,1,11,3,85,468
45,ABC,2,14,1,97,468
46,ABC,4,7,4,112,468
47,ABC,-1,18,1,120,468
48,ABC,1,23,2,139,468
49,ABC,5,18,3,163,468
50,ABC,2,22,2,182,468
51,ABC,2,22,2,205,468
52,ABC,1,24,1,228,468
53,ABC,3,21,2,253,468
54,ABC,2,23,1,275,468
55,ABC,2,23,1,299,468
56,ABC,1,24,1,323,468
57,ABC,1,23,2,348,468
58,ABC,5,7,5,372,468
59,ABC,2,11,4,380,468
60,ABC,4,26,5,392,468
61,ABC,4,27,4,419,468
62,ABC,5,26,4,447,468
63,ABC,2,20,1,474,468
64,ABC,3,38,3,495,468
65,ABC,-1,31,-1,534,468
66,ABC,3,24,1,566,468
67,ABC,1,28,0,591,468
68,ABC,3,29,1,620,468
69,ABC,3,23,1,650,468
70,ABC,3,22,0,674,468
71,ABC,1,29,2,697,468
72,ABC,3,26,3,727,468
73,ABC,2,14,2,754,468
74,ABC,0,17,3,769,468
75,ABC,3,26,-1,787,468
76,ABC,3,21,0,814,468
77,ABC,3,31,3,836,468
78,ABC,3,26,3,868,468
79,ABC,1,32,1,895,468
80,ABC,3,23,0,928,468
81,ABC,1,32,1,952,468
82,ABC,3,28,-1,985,468
83,ABC,1,25,1,0,527
84,ABC,0,28,0,26,527
85,ABC,3,25,3,55,527
86,ABC,-1,31,-1,81,527
87,ABC,0,43,0,113,527
88,ABC,0,28,0,157,527
89,ABC,-1,30,-1,186,527
90,ABC,1,25,1,217,527
91,ABC,3,13,2,243,527
92,ABC,1,18,-1,257,527
93,ABC,2,13,3,276,527
94,ABC,3,29,3,290,527
95,ABC,-1,28,-1,320,527
96,ABC,5,11,10,349,527
97,ABC,1,21,3,361,527
98,ABC,3,23,1,383,527
99,ABC,1,21,0,407,527
100,ABC,1,23,3,429,527
101,ABC,1,23,1,453,527
102,ABC,0,17,-2,477,527
103,ABC,1,23,3,495,527
104,ABC,3,21,3,519,527
105,ABC,3,5,3,541,527
106,ABC,-2,13,3,547,527
107,ABC,3,22,-1,561,527
108,ABC,3,5,3,584,527
109,ABC,3,35,2,590,527
110,ABC,3,21,3,626,527
111,ABC,1,24,1,648,527
112,ABC,3,23,1,673,527
113,ABC,1,23,3,697,527
114,ABC,3,14,0,721,527
115,ABC,1,20,0,736,527
116,ABC,0,16,0,757,527
117,ABC,3,21,3,774,527
118,ABC,0,24,0,796,527
119,ABC,0,36,0,821,527
120,ABC,0,24,0,858,527
121,ABC,0,24,0,883,527
122,ABC,1,19,1,908,527
123,ABC,1,20,2,928,527
124,ABC,7,4,7,949,527
125,ABC,2,20,1,954,527
126,ABC,3,29,3,975,527
160,ABC,0,1,14,1005,527
161,ABC,5,6,5,1007,527
162,ABC,2,21,3,0,586
163,ABC,2,23,1,22,586
164,ABC,1,24,1,46,586
165,ABC,1,24,1,71,586
166,ABC,7,4,7,96,586
167,ABC,2,22,2,101,586
168,ABC,5,16,5,124,586
169,ABC,2,41,2,141,586
170,ABC,2,19,3,183,586
171,ABC,2,23,3,203,586
172,ABC,3,28,4,227,586
173,ABC,2,14,1,256,586
174,ABC,2,41,2,271,586
175,ABC,-1,28,-1,313,586
176,ABC,2,19,2,342,586
177,ABC,3,29,3,362,586
178,ABC,4,17,3,392,586
179,ABC,4,16,4,410,586
180,ABC,10,11,5,427,586
181,ABC,3,21,3,439,586
182,ABC,1,22,3,461,586
183,ABC,5,7,5,484,586
184,ABC,6,12,8,492,586
185,ABC,6,14,4,505,586
186,ABC,2,20,2,520,586
187,ABC,3,22,3,541,586
188,ABC,4,40,4,564,586
189,ABC,4,42,2,605,586
190,ABC,3,42,3,648,586
191,ABC,1,20,2,691,586
192,ABC,-1,31,-1,712,586
193,ABC,-1,31,-1,744,586
194,ABC,-1,31,-1,776,586
195,ABC,-1,31,-1,808,586
196,ABC,-1,31,-1,840,586
197,ABC,-1,31,-1,872,586
198,ABC,-1,44,1,904,586
199,ABC,1,28,0,949,586
200,ABC,3,23,1,978,586
201,ABC,3,23,1,0,645
202,ABC,3,23,1,24,645
203,ABC,3,23,1,48,645
204,ABC,2,14,2,72,645
205,ABC,2,14,2,87,645
206,ABC,1,17,0,102,645
207,ABC,2,15,1,120,645
208,ABC,0,33,1,136,645
209,ABC,3,26,3,170,645
210,ABC,1,32,1,197,645
211,ABC,1,32,1,230,645
212,ABC,1,32,1,263,645
213,ABC,1,32,1,296,645
214,ABC,1,32,1,329,645
215,ABC,4,26,5,362,645
216,ABC,1,32,1,389,645
217,ABC,3,25,3,422,645
218,ABC,3,25,3,448,645
219,ABC,3,25,3,474,645
220,ABC,3,25,3,500,645
221,ABC,-1,30,-1,526,645
222,ABC,3,23,1,557,645
223,ABC,3,22,1,581,645
224,ABC,1,21,3,604,645
225,ABC,1,21,3,626,645
226,ABC,1,21,3,648,645
227,ABC,1,21,3,670,645
228,ABC,1,21,3,692,645
229,ABC,1,21,3,714,645
230,ABC,1,40,1,736,645
231,ABC,1,21,0,777,645
232,ABC,1,23,1,799,645
233,ABC,1,23,1,823,645
234,ABC,1,23,1,847,645
235,ABC,1,23,1,871,645
236,ABC,0,10,1,895,645
237,ABC,3,11,-3,906,645
238,ABC,-2,15,-2,918,645
239,ABC,-1,13,-1,934,645
240,ABC,1,24,1,948,645
241,ABC,3,21,3,973,645
242,ABC,1,24,1,995,645
243,ABC,1,24,1,0,704
244,ABC,1,24,1,25,704
245,ABC,1,24,1,50,704
246,ABC,1,24,1,75,704
247,ABC,3,29,3,100,704
248,ABC,1,24,1,130,704
249,ABC,3,21,3,155,704
250,ABC,3,21,3,177,704
251,ABC,3,21,3,199,704
252,ABC,3,21,3,221,704
253,ABC,0,24,0,243,704
254,ABC,3,23,1,268,704
Spec,2,Tahoma,39,32,190,46
32,ABC,0,1,9,292,704
33,ABC,3,5,3,294,704
34,ABC,1,11,1,300,704
35,ABC,2,19,2,312,704
36,ABC,1,15,1,332,704
37,ABC,1,29,1,348,704
38,ABC,1,22,-1,378,704
39,ABC,1,5,1,401,704
40,ABC,1,10,1,407,704
41,ABC,1,10,1,418,704
42,ABC,1,15,1,429,704
43,ABC,2,19,2,445,704
44,ABC,1,7,2,465,704
45,ABC,1,10,1,473,704
46,ABC,3,4,3,484,704
47,ABC,-1,13,0,489,704
48,ABC,1,15,1,503,704
49,ABC,3,12,2,519,704
50,ABC,1,15,1,532,704
51,ABC,1,15,1,548,704
52,ABC,0,17,0,564,704
53,ABC,2,14,1,582,704
54,ABC,1,15,1,597,704
55,ABC,1,16,0,613,704
56,ABC,1,15,1,630,704
57,ABC,1,15,1,646,704
58,ABC,3,5,3,662,704
59,ABC,1,8,2,668,704
60,ABC,3,17,3,677,704
61,ABC,3,18,2,695,704
62,ABC,3,17,3,714,704
63,ABC,1,14,0,732,704
64,ABC,2,26,1,747,704
65,ABC,-1,21,-1,774,704
66,ABC,2,17,0,796,704
67,ABC,1,18,0,814,704
68,ABC,2,19,1,833,704
69,ABC,2,15,1,853,704
70,ABC,2,15,0,869,704
71,ABC,1,19,1,885,704
72,ABC,2,18,2,905,704
73,ABC,1,10,1,924,704
74,ABC,0,11,2,935,704
75,ABC,2,18,-1,947,704
76,ABC,2,14,0,966,704
77,ABC,2,21,2,981,704
78,ABC,2,17,2,1003,704
79,ABC,1,21,1,0,763
80,ABC,2,16,0,22,763
81,ABC,1,21,1,39,763
82,ABC,2,19,-1,61,763
83,ABC,1,17,0,81,763
84,ABC,0,19,0,99,763
85,ABC,2,17,2,119,763
86,ABC,-1,21,-1,137,763
87,ABC,0,29,0,159,763
88,ABC,0,19,0,189,763
89,ABC,-1,20,-1,209,763
90,ABC,1,17,0,230,763
91,ABC,2,9,1,248,763
92,ABC,0,13,-1,258,763
93,ABC,1,9,2,272,763
94,ABC,2,20,1,282,763
95,ABC,-1,19,-1,303,763
96,ABC,3,8,6,323,763
97,ABC,0,15,2,332,763
98,ABC,2,15,1,348,763
99,ABC,0,15,0,364,763
100,ABC,1,15,2,380,763
101,ABC,0,17,0,396,763
102,ABC,0,12,-2,414,763
103,ABC,1,15,2,427,763
104,ABC,2,14,2,443,763
105,ABC,1,5,1,458,763
106,ABC,-2,9,2,464,763
107,ABC,2,15,-1,474,763
108,ABC,2,4,1,490,763
109,ABC,2,24,1,495,763
110,ABC,2,14,2,520,763
111,ABC,0,17,0,535,763
112,ABC,2,15,1,553,763
113,ABC,1,15,2,569,763
114,ABC,2,10,0,585,763
115,ABC,1,13,0,596,763
116,ABC,0,11,0,610,763
117,ABC,2,14,2,622,763
118,ABC,0,16,0,637,763
119,ABC,0,24,0,654,763
120,ABC,0,16,0,679,763
121,ABC,0,16,0,696,763
122,ABC,0,14,0,713,763
123,ABC,1,13,1,728,763
124,ABC,4,4,4,742,763
125,ABC,1,14,0,747,763
126,ABC,2,19,2,762,763
160,ABC,0,1,9,782,763
161,ABC,3,5,3,784,763
162,ABC,1,15,1,790,763
163,ABC,1,16,0,806,763
164,ABC,0,17,0,823,763
165,ABC,0,17,0,841,763
166,ABC,4,4,4,859,763
167,ABC,1,15,1,864,763
168,ABC,3,11,3,880,763
169,ABC,1,28,1,892,763
170,ABC,1,13,2,921,763
171,ABC,1,16,1,935,763
172,ABC,2,19,2,952,763
173,ABC,1,10,1,972,763
174,ABC,1,28,1,983,763
175,ABC,-1,19,-1,0,803
176,ABC,1,13,1,20,803
177,ABC,2,19,2,34,803
178,ABC,2,12,2,54,803
179,ABC,2,12,2,67,803
180,ABC,7,7,3,80,803
181,ABC,2,14,2,88,803
182,ABC,0,16,1,103,803
183,ABC,3,5,3,120,803
184,ABC,4,8,5,126,803
185,ABC,4,9,3,135,803
186,ABC,1,14,1,145,803
187,ABC,2,15,1,160,803
188,ABC,2,27,3,176,803
189,ABC,2,29,1,204,803
190,ABC,2,28,2,234,803
191,ABC,0,14,1,263,803
192,ABC,-1,21,-1,278,803
193,ABC,-1,21,-1,300,803
194,ABC,-1,21,-1,322,803
195,ABC,-1,21,-1,344,803
196,ABC,-1,21,-1,366,803
197,ABC,-1,21,-1,388,803
198,ABC,-1,29,1,410,803
199,ABC,1,18,0,440,803
200,ABC,2,15,1,459,803
201,ABC,2,15,1,475,803
202,ABC,2,15,1,491,803
203,ABC,2,15,1,507,803
204,ABC,1,10,1,523,803
205,ABC,1,10,1,534,803
206,ABC,0,12,0,545,803
207,ABC,1,10,1,558,803
208,ABC,0,21,1,569,803
209,ABC,2,17,2,591,803
210,ABC,1,21,1,609,803
211,ABC,1,21,1,631,803
212,ABC,1,21,1,653,803
213,ABC,1,21,1,675,803
214,ABC,1,21,1,697,803
215,ABC,3,17,3,719,803
